X;Y;Z
55.4983;-3.1222;0.998
55.2132;-2.0984;0.4237
55.0839;-1.3551;0.01
55.263;-1.0211;-0.2896
55.4166;-1.0662;-0.5147
55.7922;-1.5164;-0.705
56.3071;-1.8713;-0.8628
56.8173;-2.0216;-0.9721
57.3096;-2.1338;-1.0801
57.8144;-2.4466;-1.1861
58.1153;-2.7258;-1.2853
58.1194;-3.0056;-1.3537
57.8704;-3.1324;-1.5422
57.6984;-2.7706;-1.7819
57.2937;-1.8631;-2.0927
56.9558;-0.6689;-2.4451
56.3524;0.7313;-2.6502
55.7227;1.6553;-2.5989
55.3992;1.7762;-2.2509
55.4693;0.9633;-1.7047
55.8277;-0.5126;-1.1741
56.2735;-2.6024;-0.6744
56.729;-4.6217;-0.431
57.2042;-6.0112;-0.3486
57.7676;-6.5941;-0.3081
58.4616;-6.323;-0.3796
59.3458;-5.2659;-0.5659
60.4806;-3.4844;-0.9502
61.7929;-1.6995;-1.4236
63.2906;-0.5072;-1.844
64.4838;-0.5462;-2.0743
65.1649;-0.7344;-2.1224
65.743;-1.032;-2.0178
66.2714;-1.7524;-1.8697
66.7539;-2.4013;-1.8618
67.0227;-2.7424;-2.1827
67.7644;-2.398;-2.8323
68.7919;-1.5791;-3.7055
69.0871;-0.4754;-4.6269
68.3198;0.6307;-5.3862
67.5855;1.2949;-5.9412
67.2995;1.2642;-6.3226
67.0427;0.7584;-6.3983
66.6113;0.3303;-6.2276
66.254;0.2907;-5.9942
66.0467;0.6346;-5.7652
65.7908;1.1449;-5.611
66.0166;1.1532;-5.544
66.6597;0.4938;-5.3601
67.6493;-0.3916;-4.9082
69.3087;-0.9862;-4.2969
71.1565;-0.9722;-3.6824
72.242;-0.3504;-3.2312
72.6501;0.7989;-3.0887
73.2037;1.9263;-3.2782
74.2265;2.3053;-3.6372
75.8729;1.9335;-3.9398
78.0856;1.0907;-4.1549
80.2503;0.2089;-4.3014
81.9054;-0.4057;-4.4137
83.1993;-0.3687;-4.5379
84.7525;0.2121;-4.635
87.4914;1.0592;-4.8562
91.4944;1.6773;-5.2922
96.0621;2.0024;-5.9148
101.4422;1.8929;-6.7119
106.3426;1.491;-7.5396
110.5462;0.8804;-8.2922
113.5645;0.3726;-8.7917
115.7061;0.2444;-9.0233
117.6549;0.3058;-9.0652
119.6608;0.1997;-8.9711
122.2621;0.0154;-8.9088
125.5677;-0.3029;-9.0005
129.7077;-0.6009;-9.2822
134.8001;-0.4564;-9.7934
140.3098;0.327;-10.2846
145.7985;1.3747;-10.5963
151.9438;1.9195;-10.784
159.4496;1.9396;-10.8655
167.8323;1.8213;-10.8466
176.875;1.8654;-10.8596
-173.7304;0.5436;-10.8337
-164.525;-0.6786;-10.4645
-156.1839;-1.5325;-9.8755
-148.6035;-2.5896;-9.1805
-141.5251;-3.4682;-8.4526
-134.6595;-4.0646;-7.6917
-128.073;-4.5387;-6.9232
-121.9983;-4.914;-6.2129
-116.6509;-5.1772;-5.585
-111.7596;-5.1911;-5.1486
-107.2903;-5.1093;-4.9079
-103.2277;-4.666;-4.7045
-99.6053;-3.5344;-4.3599
-96.6453;-2.3078;-3.9994
-93.9177;-0.7844;-3.6826
-91.4382;0.9823;-3.4433
-89.3029;1.7512;-3.1924
-87.2033;1.6597;-2.8739
-85.0538;0.7039;-2.5615
-82.8635;-0.8156;-2.3745
-81.0364;-2.0975;-2.3922
-79.9821;-2.483;-2.7144
-79.1537;-2.3026;-2.9089
-78.3656;-1.649;-2.994
-77.6903;-1.0049;-3.0185
-77.2784;-0.8382;-3.1524
-76.9937;-1.2284;-3.2362
-74.435;-2.9755;-2.9333
-70.9602;-4.8085;-2.2641
-67.7691;-6.0347;-1.7041
-64.8381;-6.8329;-1.2029
-62.0047;-7.2921;-0.8042
-59.0838;-6.9532;-0.4431
-56.1784;-5.7974;-0.1594
-53.377;-4.4134;-0.166
-50.8199;-3.1523;-0.3801
-48.5124;-2.0699;-0.5578
-46.4359;-1.5999;-0.496
-44.6734;-2.7373;-0.3248
-43.9794;-5.9224;-0.4827
-43.1571;-10.1535;-0.7171
-41.4654;-14.2964;-0.6591
-39.2505;-17.5046;-0.3426
-38.17;-20.3729;-0.3591
-40.1316;-21.556;-1.5198
-43.6403;-21.8814;-3.1005
-44.8132;-23.8765;-3.6535
-44.462;-27.8403;-3.6877
-44.2803;-32.955;-3.8961
-44.9044;-39.035;-4.4748
-46.9335;-45.5782;-5.9954
-49.0257;-52.2527;-7.6446
-48.7103;-58.7976;-7.5387
-50.6112;-65.0222;-9.5074
-55.7804;-70.4719;-14.5552
-63.3859;-74.9576;-21.8752
-72.3076;-78.3223;-30.3321
-76.7877;-81.0073;-34.45
-72.5254;-83.2716;-29.8313
-61.1394;-84.8473;-17.9952
-41.5553;-85.478;1.9839
-17.8836;-84.6128;25.9396
-2.6721;-82.271;41.2853
-5.5247;-81.2457;38.6172
-16.0434;-80.7402;27.8156
-27.1879;-78.365;16.0093
-36.3043;-75.2043;6.4727
-36.6428;-72.3037;4.9496
-33.4155;-69.6011;6.1901
-32.0079;-66.9133;5.3927
-30.4587;-64.1589;4.464
-27.1178;-61.2644;4.9774
-22.8832;-58.067;6.2926
-20.6754;-54.8736;6.1487
-20.2502;-51.4606;4.5424
-22.5422;-48.4364;1.9641
-26.28;-47.568;-0.2668
-30.36;-49.3804;-2.8043
-34.2579;-53.2843;-6.0023
-40.1555;-59.4721;-11.4604
-48.3789;-65.8193;-19.3822
-53.6095;-70.6959;-24.8394
-55.2822;-74.6642;-26.4989
-57.164;-77.3561;-27.9005
-59.1686;-79.5374;-29.4049
-58.5947;-81.9948;-28.8801
-50.1731;-84.2305;-21.1545
-43.8384;-86.0393;-15.5442
-40.5186;-87.5002;-13.0043
-32.8761;-86.602;-6.1875
-31.6469;-84.1989;-5.5025
-31.6912;-81.7575;-5.7933
-31.9229;-80.1734;-5.9127
-33.6035;-80.0469;-7.1564
-39.1414;-81.1798;-12.1086
-50.4919;-83.2889;-22.9148
-75.703;-85.4336;-47.7219
-120.1531;-86.601;-91.9042
-156.4242;-85.3931;-127.7041
-164.5112;-83.2054;-134.9787
-168.092;-80.8758;-137.697
